City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Nizwa,OM,2023-03-31 20:51:47,22.9333,57.5333,74.08,11,4,1.63
158,Mar Del Plata,AR,2023-03-31 20:47:12,-38.0023,-57.5575,59.02,63,40,20.71
159,Zapolyarnyy,RU,2023-03-31 20:56:30,69.4154,30.8136,7.88,99,84,5.88
160,Najran,SA,2023-03-31 20:56:30,17.4924,44.1277,79.45,51,52,5.19
161,Coquimbo,CL,2023-03-31 20:54:04,-29.9533,-71.3436,69.53,73,20,11.5
162,Torres,BR,2023-03-31 20:56:30,-29.3353,-49.7269,82.83,84,9,3.76
163,Ormond Beach,US,2023-03-31 20:52:59,29.2858,-81.0559,82.63,60,40,17.27
164,Jilib,SO,2023-03-31 20:56:31,0.4883,42.7854,79.65,76,13,6.4
165,Sioux Lookout,CA,2023-03-31 20:52:52,50.1001,-91.917,30.27,27,40,5.75
166,Iqaluit,CA,2023-03-31 20:46:33,63.7506,-68.5145,15.53,79,75,10.36
167,Kavaratti,IN,2023-03-31 20:56:32,10.5669,72.642,80.51,73,4,9.78
168,Nelson Bay,AU,2023-03-31 20:56:32,-32.7167,152.15,63.0,81,5,8.99
169,Laguna,US,2023-03-31 20:56:32,38.421,-121.4238,63.14,56,20,6.91
170,Vila,PT,2023-03-31 20:56:32,42.0304,-8.1588,45.48,98,87,3.6
171,Savannah Bight,HN,2023-03-31 20:56:33,16.45,-85.85,79.18,78,0,24.61
172,Nouadhibou,MR,2023-03-31 20:56:33,20.931,-17.0347,87.78,27,0,14.97
173,Sorland,NO,2023-03-31 20:56:33,67.667,12.6934,35.46,61,65,13.31
174,Saint George,US,2023-03-31 20:56:33,37.1041,-113.5841,59.25,40,0,5.01
175,Namatanai,PG,2023-03-31 20:56:34,-3.6667,152.4333,78.98,83,100,6.58
176,Correntina,BR,2023-03-31 20:57:34,-13.3433,-44.6367,82.53,30,8,3.94
177,Grindavik,IS,2023-03-31 20:57:34,63.8424,-22.4338,40.95,81,100,13.8
178,Sept-Iles,CA,2023-03-31 20:54:02,50.2001,-66.3821,32.05,79,40,10.36
179,New Richmond,US,2023-03-31 20:54:00,45.123,-92.5366,37.08,98,100,17.27
180,Mount Gambier,AU,2023-03-31 20:55:32,-37.8333,140.7667,50.63,73,93,5.5
181,Waverly,US,2023-03-31 20:57:35,42.7392,-84.6208,57.29,90,100,9.22
182,Khor,RU,2023-03-31 20:57:35,47.8861,134.9464,31.96,69,15,5.32
183,Klaksvik,FO,2023-03-31 20:57:35,62.2266,-6.589,43.72,89,100,21.81
184,Castro,BR,2023-03-31 20:46:41,-24.7911,-50.0119,71.2,74,0,2.24
185,Puerto Madryn,AR,2023-03-31 20:57:36,-42.7692,-65.0385,56.93,39,73,23.15
186,Caravelas,BR,2023-03-31 20:57:36,-17.7125,-39.2481,78.66,74,9,7.61
187,Mehriz,IR,2023-03-31 20:57:36,31.5917,54.4318,64.9,37,24,8.23
188,Kontagora,NG,2023-03-31 20:57:36,10.3999,5.4695,87.12,11,96,3.62
189,Penticton,CA,2023-03-31 20:57:37,49.4806,-119.5858,50.74,37,100,13.8
190,Talaya,RU,2023-03-31 20:57:37,61.3833,152.75,9.54,94,82,2.57
191,Sao Joao Da Barra,BR,2023-03-31 20:47:12,-21.6403,-41.0511,86.09,80,5,9.06
192,Praia,CV,2023-03-31 20:57:37,14.9215,-23.5087,79.34,69,0,4.61
193,Hami,CN,2023-03-31 20:57:38,42.8,93.45,46.98,38,100,31.38
194,Solenzo,BF,2023-03-31 20:57:38,12.1833,-4.0833,89.49,7,7,6.35
195,Jalu,LY,2023-03-31 20:57:38,29.0331,21.5482,64.54,27,0,5.26
196,Palimanan,ID,2023-03-31 20:57:38,-6.7069,108.4242,76.44,86,96,3.02
197,Verkhoyansk,RU,2023-03-31 20:57:39,67.5447,133.385,-27.58,100,56,0.63
198,Coihaique,CL,2023-03-31 20:57:39,-45.5752,-72.0662,48.81,66,0,3.44
199,Lagoa,PT,2023-03-31 20:51:42,39.05,-27.9833,61.32,89,100,12.84
200,Fonte Boa,BR,2023-03-31 20:57:39,-2.4959,-66.2662,80.65,92,79,1.59
201,Atuona,PF,2023-03-31 20:43:25,-9.8,-139.0333,80.2,77,7,11.1
202,Ketchikan,US,2023-03-31 20:57:40,55.3422,-131.6461,39.67,87,100,8.05
203,Ekhabi,RU,2023-03-31 20:57:40,53.5102,142.9671,28.38,95,88,5.21
204,Banjar,ID,2023-03-31 20:57:40,-8.19,114.9675,76.35,88,100,6.2
205,Kedrovyy,RU,2023-03-31 20:57:40,56.1667,91.8167,3.61,99,95,2.13
206,Ostrovnoy,RU,2023-03-31 20:47:04,68.0531,39.5131,12.83,91,92,7.05
207,Kachiry,KZ,2023-03-31 20:57:41,53.0675,76.1036,23.27,66,2,6.55
208,Hambantota,LK,2023-03-31 20:57:41,6.1241,81.1185,78.8,79,7,2.98
209,Kati,ML,2023-03-31 20:57:42,12.7441,-8.0726,89.01,7,6,3.71
210,Ancud,CL,2023-03-31 20:57:42,-41.8697,-73.8203,53.8,62,100,8.16
211,Innisfail,AU,2023-03-31 20:57:42,-17.5333,146.0333,74.17,92,77,2.62
212,Longyearbyen,SJ,2023-03-31 20:48:11,78.2186,15.6401,13.84,73,75,9.22
213,Batouri,CM,2023-03-31 20:57:42,4.4333,14.3667,73.8,63,94,2.86
214,Ust-Omchug,RU,2023-03-31 20:57:43,61.15,149.6333,14.52,96,81,5.7
215,Padang,ID,2023-03-31 20:57:43,-0.9492,100.3543,73.45,87,100,3.31
216,Mangai,CD,2023-03-31 20:57:43,-4.05,19.5333,68.67,92,99,1.9
217,Manta,EC,2023-03-31 20:50:30,-0.95,-80.7333,74.98,94,100,12.66
218,Taltal,CL,2023-03-31 20:57:44,-25.4,-70.4833,72.34,75,25,4.76
219,Pevek,RU,2023-03-31 20:50:35,69.7008,170.3133,14.11,95,100,6.06
220,Oroville,US,2023-03-31 20:57:44,39.5138,-121.5564,60.58,55,40,11.5
221,Maryville,US,2023-03-31 20:56:08,35.7565,-83.9705,71.31,57,100,15.01
222,Loreto,MX,2023-03-31 20:58:45,22.2667,-101.9667,81.5,14,100,8.3
223,Te Anau,NZ,2023-03-31 20:58:45,-45.4167,167.7167,52.61,88,92,0.72
224,Strangnas,SE,2023-03-31 20:56:52,59.3774,17.0312,27.95,86,4,7.4
225,Port Moresby,PG,2023-03-31 20:58:45,-9.4431,147.1797,74.62,94,20,5.75
226,Broome,US,2023-03-31 20:51:46,42.2506,-75.833,43.86,88,100,14.0
227,Gizo,SB,2023-03-31 20:58:46,-8.103,156.8419,82.31,75,87,5.1
228,Ilhabela,BR,2023-03-31 20:58:46,-23.7781,-45.3581,77.09,89,90,1.41
229,Aiquile,BO,2023-03-31 20:58:46,-18.2041,-65.1807,67.21,69,52,10.63
230,Marsh Harbour,BS,2023-03-31 20:58:46,26.5412,-77.0636,74.46,68,78,21.09
231,Giyani,ZA,2023-03-31 20:58:47,-23.3025,30.7187,67.51,83,38,2.13
232,Lillesand,NO,2023-03-31 20:58:47,58.2488,8.3778,37.89,56,75,14.97
233,Teya,RU,2023-03-31 20:58:47,60.3778,92.6267,-12.3,100,100,1.32
234,Zyryanskoye,RU,2023-03-31 20:58:47,56.8306,86.6258,3.6,97,24,3.89
235,Gazanjyk,TM,2023-03-31 20:58:47,39.2446,55.5154,53.38,74,92,16.84
236,Margate,GB,2023-03-31 20:49:20,51.3813,1.3862,49.89,91,100,7.0
237,Brae,GB,2023-03-31 20:57:37,60.3964,-1.353,42.89,80,78,4.18
238,Andenes,NO,2023-03-31 20:58:48,69.3143,16.1194,32.94,74,20,11.5
239,Taoudenni,ML,2023-03-31 20:58:48,22.6783,-3.9836,84.09,7,0,13.33
240,Carlyle,US,2023-03-31 20:58:48,38.6103,-89.3726,71.51,77,100,15.01
241,Tecoanapa,MX,2023-03-31 20:58:49,16.5167,-98.75,87.1,49,10,11.45
242,Belyy Yar,RU,2023-03-31 20:58:49,53.6039,91.3903,13.89,66,0,11.18
243,Hailey,US,2023-03-31 20:58:49,43.5196,-114.3153,39.06,60,40,28.01
244,Ugoofaaru,MV,2023-03-31 20:58:50,5.6667,73.0,82.72,67,93,4.38
245,Lasa,IT,2023-03-31 20:57:24,46.6166,10.7002,42.03,91,98,4.34
246,Boshnyakovo,RU,2023-03-31 20:58:50,49.6333,142.1667,29.07,91,69,4.52
247,Bonthe,SL,2023-03-31 20:58:50,7.5264,-12.505,78.73,82,16,5.93
248,Okhotsk,RU,2023-03-31 20:58:51,59.3833,143.3,24.73,95,100,3.83
249,Dhanera,IN,2023-03-31 20:58:51,24.5167,72.0167,73.4,66,15,8.01
250,Iracoubo,GF,2023-03-31 20:58:51,5.4802,-53.2011,80.04,74,100,8.75
251,Kazanka,UA,2023-03-31 20:58:51,47.8462,32.8218,43.77,91,100,12.17
252,Saint-Augustin,CA,2023-03-31 20:58:52,51.226,-58.6502,33.13,69,39,4.54
253,Lamlash,GB,2023-03-31 20:58:52,55.5336,-5.1296,46.49,90,88,13.58
254,Mecca,SA,2023-03-31 20:58:44,21.4267,39.8261,69.13,57,50,10.18
255,Tongliao,CN,2023-03-31 20:58:53,43.6125,122.2653,53.13,31,86,12.57
256,Puerto Ayacucho,VE,2023-03-31 20:58:53,5.6639,-67.6236,90.73,45,100,2.08
257,Olinda,BR,2023-03-31 20:58:53,-8.0089,-34.8553,82.13,69,40,6.91
258,Zinder,NE,2023-03-31 20:58:53,13.8072,8.9881,78.6,12,98,10.8
259,Soyo,AO,2023-03-31 20:58:53,-6.1349,12.3689,80.51,80,86,10.6
260,Bindura,ZW,2023-03-31 20:58:54,-17.3019,31.3306,62.38,87,88,1.57
261,Tupelo,US,2023-03-31 20:55:30,34.2576,-88.7034,73.69,57,75,15.01
262,Kenitra,MA,2023-03-31 20:58:54,34.261,-6.5802,59.76,89,93,3.0
263,Bakel,SN,2023-03-31 20:58:54,14.905,-12.4568,91.65,7,14,8.97
264,Olafsvik,IS,2023-03-31 20:57:10,64.8945,-23.7142,39.99,95,100,6.58
265,Telenesti,MD,2023-03-31 20:58:55,47.4997,28.3656,42.91,90,49,2.17
266,Port Elizabeth,ZA,2023-03-31 20:58:55,-33.918,25.5701,60.31,86,0,3.44
267,Natal,BR,2023-03-31 20:56:00,-5.795,-35.2094,83.05,61,40,12.66
268,Port-Gentil,GA,2023-03-31 20:58:55,-0.7193,8.7815,82.36,83,20,5.75
269,Alice Springs,AU,2023-03-31 20:55:08,-23.7,133.8833,58.55,100,75,8.05
270,Marzuq,YE,2023-03-31 20:59:56,14.4,46.4667,74.07,72,30,8.1
271,San Jose,US,2023-03-31 20:55:56,37.3394,-121.895,64.99,48,20,5.99
272,Galiakot,IN,2023-03-31 20:59:56,23.5167,74.0,75.6,42,4,6.44
273,Port Hardy,CA,2023-03-31 20:57:25,50.6996,-127.4199,44.78,76,100,19.57
274,Kelo,TD,2023-03-31 20:59:56,9.3086,15.8066,88.45,15,7,3.22
275,Makakilo City,US,2023-03-31 20:57:11,21.3469,-158.0858,80.92,76,75,11.5
276,Tulun,RU,2023-03-31 20:59:57,54.5611,100.5792,12.27,88,99,2.82
277,Havoysund,NO,2023-03-31 20:55:06,70.9963,24.6622,28.63,68,100,32.26
278,Cam Ranh,VN,2023-03-31 20:59:57,11.9214,109.1591,75.16,88,20,3.44
279,Inhambane,MZ,2023-03-31 20:59:57,-23.865,35.3833,73.78,81,100,5.61
280,Clyde River,CA,2023-03-31 20:59:58,70.4692,-68.5914,-0.17,78,75,12.66
281,Waspan,NI,2023-03-31 20:59:58,14.7419,-83.9717,89.02,39,13,11.21
282,Nuuk,GL,2023-03-31 20:59:58,64.1835,-51.7216,22.87,49,6,11.99
283,Hadejia,NG,2023-03-31 20:59:58,12.4498,10.0444,81.9,14,30,8.37
284,Kavieng,PG,2023-03-31 20:59:59,-2.5744,150.7967,80.96,74,100,3.85
285,Mount Isa,AU,2023-03-31 20:46:31,-20.7333,139.5,71.37,35,81,5.75
286,Caala,AO,2023-03-31 20:59:59,-12.8525,15.5606,62.13,96,100,3.13
287,Tamworth,GB,2023-03-31 20:56:04,52.634,-1.6959,51.37,91,100,8.84
288,Ishigaki,JP,2023-03-31 20:59:59,24.3448,124.1572,68.13,88,100,2.3
289,Caceres,ES,2023-03-31 21:00:00,39.522,-6.3748,57.0,49,100,11.81
290,Lazaro Cardenas,MX,2023-03-31 20:51:42,17.9583,-102.2,85.96,44,19,11.43
291,Fare,PF,2023-03-31 20:51:44,-16.7,-151.0167,82.56,70,100,7.23
292,Camacupa,AO,2023-03-31 21:00:00,-12.0167,17.4833,61.66,97,100,3.0
293,Ville-Marie,CA,2023-03-31 21:00:01,47.3335,-79.433,31.6,99,100,6.8
294,Mana,GF,2023-03-31 21:00:02,5.6592,-53.7767,79.57,77,100,7.72
